Started job at 2024-02-07 09:25:58.301338
apnea_matrix length: 618, non_apnea_matrix length = 618, matrix length = 52758
apnea_matrix length: 271, non_apnea_matrix length = 271, matrix length = 53300
apnea_matrix length: 1033, non_apnea_matrix length = 1033, matrix length = 55366
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 55366
apnea_matrix length: 155, non_apnea_matrix length = 155, matrix length = 55676
apnea_matrix length: 128, non_apnea_matrix length = 128, matrix length = 55932
apnea_matrix length: 50, non_apnea_matrix length = 50, matrix length = 56032
apnea_matrix length: 27, non_apnea_matrix length = 27, matrix length = 56086
apnea_matrix length: 208, non_apnea_matrix length = 208, matrix length = 56502
apnea_matrix length: 42, non_apnea_matrix length = 42, matrix length = 56586
apnea_matrix length: 927, non_apnea_matrix length = 927, matrix length = 58440
apnea_matrix length: 12, non_apnea_matrix length = 12, matrix length = 58464
apnea_matrix length: 172, non_apnea_matrix length = 172, matrix length = 58808
apnea_matrix length: 29, non_apnea_matrix length = 29, matrix length = 58866
apnea_matrix length: 52, non_apnea_matrix length = 52, matrix length = 58970
apnea_matrix length: 60, non_apnea_matrix length = 60, matrix length = 59090
apnea_matrix length: 41, non_apnea_matrix length = 41, matrix length = 59172
apnea_matrix length: 113, non_apnea_matrix length = 113, matrix length = 59398
apnea_matrix length: 7, non_apnea_matrix length = 7, matrix length = 59412
apnea_matrix length: 74, non_apnea_matrix length = 74, matrix length = 59560
apnea_matrix length: 4, non_apnea_matrix length = 4, matrix length = 59568
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 59568
apnea_matrix length: 87, non_apnea_matrix length = 87, matrix length = 59742
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 59742
apnea_matrix length: 51, non_apnea_matrix length = 51, matrix length = 59844
apnea_matrix length: 223, non_apnea_matrix length = 223, matrix length = 60290
apnea_matrix length: 132, non_apnea_matrix length = 132, matrix length = 60554
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 60554
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 60554
apnea_matrix length: 0, non_apnea_matrix length = 0, matrix length = 60554
